,ax,ay,az,gx,gy,gz,mx,my,mz
11:05:35:19,0.562912,1.1761627,8.365601,-0.44352722,-0.20410156,-0.29455566,22.50061,-24.150085,-253.05023
11:05:35:20,0.586853,1.2264404,9.081467,-0.45843506,-0.20942688,-0.3009491,,,
11:05:35:21,0.5964203,1.2671356,9.6465,-0.43606567,-0.2147522,-0.31053162,23.550415,-24.299622,-252.14996
11:05:35:22,0.48150635,1.3222046,10.075058,-0.394516,-0.18917847,-0.3201294,,,
11:05:35:23,0.2995453,1.398819,10.34082,-0.35191345,-0.13165283,-0.32652283,22.950745,-23.399353,-252.74963
11:05:35:24,0.06491089,1.3940277,10.592209,-0.30929565,-0.07733154,-0.32652283,,,
11:05:35:25,-0.2104187,1.2551727,10.666428,-0.2613678,0.0025634766,-0.3009491,,,
11:05:35:26,-0.38998413,1.125885,10.723892,-0.22088623,0.068618774,-0.250885,22.799683,-24.00055,-251.84937
11:05:35:27,-0.5719452,1.1067352,10.747833,-0.1953125,0.08885193,-0.18482971,,,
11:05:35:28,-0.54081726,1.1474304,11.035141,-0.16654968,0.037719727,-0.06340027,21.749878,-22.650146,-252.00043
11:05:35:29,-0.43067932,1.1163025,11.233856,-0.15803528,0.0068206787,-0.026107788,,,
11:05:35:30,-0.32055664,1.0851898,11.334412,-0.13034058,-0.058151245,0.044189453,23.699951,-22.650146,-253.50037
11:05:35:31,-0.04283142,1.0348969,11.511581,-0.10583496,-0.12313843,0.097457886,,,
11:05:35:32,0.21095276,0.9774475,11.722275,-0.095184326,-0.18171692,0.1262207,21.600342,-22.50061,-253.9505
11:05:35:33,0.43841553,0.9606781,11.997604,-0.09411621,-0.23391724,0.13687134,,,
11:05:35:34,0.55093384,0.9271698,12.543488,-0.09944153,-0.23712158,0.13261414,23.249817,-22.650146,-253.05023
11:05:35:35,0.5581207,0.94392395,12.744598,-0.08985901,-0.1955719,0.11024475,,,
11:05:35:36,0.5748749,0.9415283,13.039078,-0.06854248,-0.107162476,0.08148193,22.349548,-23.249817,-253.6499
11:05:35:37,0.6778259,0.56085205,13.199493,-0.018478394,0.03665161,0.036743164,,,
11:05:35:38,0.62275696,0.46748352,13.04866,0.037979126,0.21455383,-0.0037384033,21.749878,-23.849487,-253.05023
11:05:35:39,-0.009307861,0.34776306,12.378281,0.07952881,0.38180542,-0.03250122,,,
11:05:35:40,-0.25830078,0.40522766,12.179565,0.084854126,0.44891357,-0.041030884,20.249939,-21.899414,-253.50037
11:05:35:41,-0.5647583,0.5488739,11.681564,0.055023193,0.43933105,-0.03463745,,,
11:05:35:42,-0.66770935,0.56085205,11.564255,-0.067489624,0.35090637,-0.04208374,22.50061,-22.650146,-252.74963
11:05:35:43,-0.7203827,0.536911,11.64566,-0.11968994,0.31575012,-0.048477173,,,
11:05:35:44,-0.9358673,0.35734558,11.90184,-0.21768188,0.24650574,-0.050613403,22.050476,-23.249817,-255.14984
11:05:35:45,-1.1417694,0.10116577,12.536301,-0.2890625,0.15809631,-0.021850586,,,
11:05:35:46,-1.2471161,-0.2579651,13.575378,-0.29971313,0.07606506,0.05378723,22.50061,-22.650146,-254.24957
11:05:35:47,,,,-0.27841187,0.035583496,0.10491943,,,
11:05:35:48,-1.1705017,-0.3369751,13.95845,,,,,,
11:05:35:49,-0.6078644,-0.9403076,14.413345,0.1530304,-0.027267456,0.36697388,22.200012,-21.899414,-255.29938
